file,kegg,acession,kingdom,phylum,class,order,family,genus
aaa_CP002521,aaa,CP002521,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
aab_CP015163,aab,CP015163,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
aac_CP001727,aac,CP001727,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
aace_CP014692,aace,CP014692,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
aaci_CP013126,aaci,CP013126,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium
aacn_AP014520,aacn,AP014520,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
aact_CP012959,aact,CP012959,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
aad_CP002902,aad,CP002902,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
aae_NC_000918,aae,NC_000918,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex
aah_CP007502,aah,CP007502,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
aai_FQ311875,aai,FQ311875,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter
aaj_CP018201,aaj,CP018201,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
aak_CP015005,aak,CP015005,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
aal_CP008849,aal,CP008849,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
