organism_name,infraspecific_name,species,genus,family,order,class,phylum,superkingdom
Abiotrophia defectiva,strain=FDAARGOS_785,Abiotrophia defectiva,Abiotrophia,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Abyssicoccus albus,strain=S31,Abyssicoccus albus,Abyssicoccus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Acaryochloris marina MBIC11017,strain=MBIC11017,Acaryochloris marina,Acaryochloris,Acaryochloridaceae,Synechococcales,,Cyanobacteria,Bacteria
Acetilactobacillus jinshanensis,strain=HSLZ-75,Acetilactobacillus jinshanensis,Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Hungateiclostridium thermocellum DSM 2360,strain=LQRI,Acetivibrio thermocellus,Acetivibrio,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Acetoanaerobium sticklandii,strain=DSM 519,Acetoanaerobium sticklandii,Acetoanaerobium,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Acetobacter tropicalis,strain=BDGP1,Acetobacter tropicalis,Acetobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Acetobacterium woodii DSM 1030,strain=DSM 1030,Acetobacterium woodii,Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Acetohalobium arabaticum DSM 5501,strain=DSM 5501,Acetohalobium arabaticum,Acetohalobium,Halobacteroidaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria
Acetomicrobium mobile DSM 13181,strain=DSM 13181,Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria
Acholeplasma laidlawii,strain=NCTC10116,Acholeplasma laidlawii,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
Achromobacter spanius,strain=NCTC13519,Achromobacter spanius,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Acidaminococcus fermentans DSM 20731,strain=DSM 20731,Acidaminococcus fermentans,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria
Acidianus manzaensis,strain=YN-25,Acidianus manzaensis,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
Acidibrevibacterium fodinaquatile,strain=G45-3,Acidibrevibacterium fodinaquatile,Acidibrevibacterium,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Acidiferrobacter sp. SPIII_3,strain=SPIII_3,Acidiferrobacter sp. SPIII_3,Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Acidilobus saccharovorans 345-15,strain=345-15,Acidilobus saccharovorans,Acidilobus,Acidilobaceae,Acidilobales,Thermoprotei,Crenarchaeota,Archaea
Acidimicrobium ferrooxidans DSM 10331,strain=DSM 10331,Acidimicrobium ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Bacteria
Acidiphilium cryptum JF-5,strain=JF-5,Acidiphilium cryptum,Acidiphilium,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Acidipropionibacterium jensenii,strain=JS280,Acidipropionibacterium jensenii,Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Acidithiobacillus ferrooxidans,strain=YNTRS-40,Acidithiobacillus ferrooxidans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria
Acidobacterium capsulatum ATCC 51196,strain=ATCC 51196,Acidobacterium capsulatum,Acidobacterium,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria
Acidothermus cellulolyticus 11B,strain=11B; ATCC 43068,Acidothermus cellulolyticus,Acidothermus,Acidothermaceae,Acidothermales,Actinomycetia,Actinobacteria,Bacteria
Acidovorax carolinensis,strain=P4,Acidovorax carolinensis,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Aciduliprofundum boonei T469,strain=T469,Aciduliprofundum boonei,Aciduliprofundum,,,,Candidatus Thermoplasmatota,Archaea
Acinetobacter johnsonii,strain=Acsw19,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Confluentimicrobium sp. EMB200-NS6,strain=EMBL200_NS6,Confluentimicrobium sp. EMB200-NS6,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Actinoalloteichus fjordicus,strain=ADI127-7,Actinoalloteichus fjordicus,Actinoalloteichus,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Actinobacillus equuli,strain=NCTC8529,Actinobacillus equuli,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Actinocatenispora thailandica,strain=NBRC 105041,Actinocatenispora thailandica,Actinocatenispora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,Bacteria
Actinomadura sp. WMMB 499,strain=WMMB499,Actinomadura sp. WMMB 499,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetia,Actinobacteria,Bacteria
Actinomyces pacaensis,strain=Marseille-P2985T,Actinomyces pacaensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Actinoplanes teichomyceticus ATCC 31121,strain=ATCC 31121,Actinoplanes teichomyceticus,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,Bacteria
Actinopolyspora erythraea,strain=YIM 90600,Actinopolyspora erythraea,Actinopolyspora,Actinopolysporaceae,Actinopolysporales,Actinomycetia,Actinobacteria,Bacteria
Actinosynnema pretiosum,strain=X47,Actinosynnema pretiosum,Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Actinotignum schaalii,strain=CCUG 27420,Actinotignum schaalii,Actinotignum,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Asaccharobacter celatus DSM 18785,strain=DSM 18785,Adlercreutzia equolifaciens,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria
Advenella kashmirensis WT001,strain=WT001,Advenella kashmirensis,Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Aequorivita sublithincola DSM 14238,strain=DSM 14238,Aequorivita sublithincola,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Aeribacillus pallidus,strain=KCTC3564,Aeribacillus pallidus,Aeribacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Aerococcus viridans,strain=CCUG4311,Aerococcus viridans,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Aeromicrobium erythreum,strain=AR18,Aeromicrobium erythreum,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Aeromonas hydrophila,strain=LHW39,Aeromonas hydrophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Aeropyrum pernix K1,strain=K1,Aeropyrum pernix,Aeropyrum,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
Aerosticca soli,strain=Dysh456,Aerosticca soli,Aerosticca,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Afipia carboxidovorans OM5,strain=OM5; ATCC 49405,Afipia carboxidovorans,Afipia,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Agarilytica rhodophyticola,strain=017,Agarilytica rhodophyticola,Agarilytica,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Agarivorans gilvus,strain=WH0801,Agarivorans gilvus,Agarivorans,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Aggregatibacter actinomycetemcomitans,strain=IDH781,Aggregatibacter actinomycetemcomitans,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Agrobacterium tumefaciens,strain=EML4,Agrobacterium tumefaciens,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Agromyces aureus,strain=AR33,Agromyces aureus,Agromyces,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Ahniella affigens,strain=D13,Ahniella affigens,Ahniella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Akkermansia muciniphila,strain=EB-AMDK-1,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria
Alcaligenes faecalis,strain=J481,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Alcanivorax xenomutans,strain=P40,Alcanivorax xenomutans,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Algibacter alginicilyticus,strain=HZ22,Algibacter alginicilyticus,Algibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Algoriphagus sanaruensis,strain=M8-2,Algoriphagus sanaruensis,Algoriphagus,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Aliarcobacter cryaerophilus,strain=G13RTA,Aliarcobacter cryaerophilus,Aliarcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
Alicycliphilus denitrificans,strain=I51,Alicycliphilus denitrificans,Alicycliphilus,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Alicyclobacillus ferrooxydans,strain=S30H14,Alicyclobacillus ferrooxydans,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Aliivibrio fischeri ES114,strain=ES114,Aliivibrio fischeri,Aliivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Alistipes finegoldii DSM 17242,strain=DSM 17242,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
Alkalihalobacillus clausii,strain=DSM 8716,Alkalihalobacillus clausii,Alkalihalobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Alkalilimnicola ehrlichii MLHE-1,strain=MLHE-1,Alkalilimnicola ehrlichii,Alkalilimnicola,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
Alkaliphilus metalliredigens QYMF,strain=QYMF,Alkaliphilus metalliredigens,Alkaliphilus,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Alkalitalea saponilacus,strain=SC/BZ-SP2,Alkalitalea saponilacus,Alkalitalea,Marinilabiliaceae,Marinilabiliales,Bacteroidia,Bacteroidetes,Bacteria
Alloactinosynnema sp. L-07,strain=L-07,Alloactinosynnema sp. L-07,Alloactinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,Bacteria
Allochromatium vinosum DSM 180,strain=DSM 180,Allochromatium vinosum,Allochromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
Allofrancisella guangzhouensis,strain=08HL01032,Allofrancisella guangzhouensis,Allofrancisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Altererythrobacter atlanticus,strain=26DY36,Altererythrobacter atlanticus,Altererythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
Alteromonas stellipolaris LMG 21856,strain=LMG 21856,Alteromonas stellipolaris,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Alysiella filiformis,strain=DSM 16848,Alysiella filiformis,Alysiella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
Aminipila butyrica,strain=DSM 103574,Aminipila butyrica,Aminipila,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,Firmicutes,Bacteria
