phage_taxid,phage_name,phage_accession,phage_gi,phage_date,host_taxid,host_name,host_superkingdom,host_phylum,host_class,host_order,host_family,host_genus,host_species
1977403,Acholeplasma phage MV-L51,NC_001341,9625557,1991,2148,Acholeplasma laidlawii,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii
46014,Acholeplasma virus L2,NC_001447,9626510,1983,2148,Acholeplasma laidlawii,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii
1589747,Achromobacter phage 83-24,NC_028834,971747936,2014,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1416009,Achromobacter phage JWAlpha,NC_023556,589889317,2013,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1416008,Achromobacter phage JWDelta,KF787094,566132332,2013,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1589748,Achromobacter phage JWF,NC_029075,985758637,2014,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1589746,Achromobacter phage JWX,NC_028768,971741675,2014,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
2591403,Achromobacter phage Motura,NC_049849,1877795815,2019,1389935,Achromobacter animicus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter animicus
1610509,Achromobacter phage phiAxp-1,NC_029033,971821719,2014,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1664246,Achromobacter phage phiAxp-2,NC_029106,985770099,2015,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
1664247,Achromobacter phage phiAxp-3,NC_028908,1211145026,2015,85698,Achromobacter xylosoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
437444,Acidianus bottle-shaped virus,NC_009452,146411811,2007,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
1732173,Acidianus bottle-shaped virus 2,NC_028938,971757805,2014,2281,Sulfolobales,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,,,
1732174,Acidianus bottle-shaped virus 3,NC_028787,971743462,2014,2281,Sulfolobales,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,,,
235266,Acidianus filamentous virus 1,NC_005830,45655866,2003,12915,Acidianus infernus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus infernus
235266,Acidianus filamentous virus 1,NC_005830,45655866,2003,563177,Acidianus hospitalis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis
300186,Acidianus filamentous virus 2,NC_009884,157929273,2003,314564,Acidianus pozzuoliensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus pozzuoliensis
300186,Acidianus filamentous virus 2,NC_009884,157929273,2003,315458,Acidianus sp. F28,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sp. F28
346881,Acidianus filamentous virus 3,NC_010155,162329288,2005,315461,Acidianus sp. Acii25,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sp. Acii25
346882,Acidianus filamentous virus 6,NC_010152,162329357,2005,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
346883,Acidianus filamentous virus 7,NC_010153,162329424,2005,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
346884,Acidianus filamentous virus 8,NC_010154,162329482,2005,269667,Acidianus convivator,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus convivator
