file	RefSeq_assembly_accession	species_taxid	organism_name	infraspecific_name	species	genus	family	order	class	phylum	superkingdom
GCF_900128735.1_BCiconfinis_v1.0_genomic.gbff	GCF_900128735.1	9	Buchnera aphidicola (Cinara confinis)	strain=BCiconfinis	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_003045165.1_ASM304516v1_genomic.gbff	GCF_003045165.1	492670	Bacillus velezensis	strain=DR-08	Bacillus velezensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_009730595.1_ASM973059v1_genomic.gbff	GCF_009730595.1	324079	Spiroplasma tabanidicola	strain=TAUS-1	Spiroplasma tabanidicola	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
GCF_016406325.1_ASM1640632v1_genomic.gbff	GCF_016406325.1	24	Shewanella putrefaciens	strain=ATCC 8071	Shewanella putrefaciens	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_016406345.1_ASM1640634v1_genomic.gbff	GCF_016406345.1	1352	Enterococcus faecium	strain=Dallas 91	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_017068235.1_ASM1706823v1_genomic.gbff	GCF_017068235.1	1590	Lactiplantibacillus plantarum	strain=GR0128	Lactiplantibacillus plantarum	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_900636675.1_43781_F01_genomic.gbff	GCF_900636675.1	217203	Achromobacter spanius	strain=NCTC13519	Achromobacter spanius	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_006401215.1_ASM640121v1_genomic.gbff	GCF_006401215.1	34	Myxococcus xanthus	strain=GH5.1.9c20	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_006401635.1_ASM640163v1_genomic.gbff	GCF_006401635.1	34	Myxococcus xanthus	strain=KF3.2.8c11	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_006402015.1_ASM640201v1_genomic.gbff	GCF_006402015.1	34	Myxococcus xanthus	strain=KF4.3.9c1	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_006402415.1_ASM640241v1_genomic.gbff	GCF_006402415.1	34	Myxococcus xanthus	strain=MC3.3.5c16	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_006402735.1_ASM640273v1_genomic.gbff	GCF_006402735.1	34	Myxococcus xanthus	strain=MC3.5.9c15	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_006459125.1_ASM645912v1_genomic.gbff	GCF_006459125.1	877500	Arcobacter anaerophilus	strain=DSM 24636	Arcobacter anaerophilus	Arcobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_015779285.1_ASM1577928v1_genomic.gbff	GCF_015779285.1	670	Vibrio parahaemolyticus	strain=20-082A3	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_016698705.1_ASM1669870v1_genomic.gbff	GCF_016698705.1	28095	Burkholderia gladioli	strain=BBB-01	Burkholderia gladioli	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
GCF_000219175.1_ASM21917v1_genomic.gbff	GCF_000219175.1	1048758	Candidatus Moranella endobia PCIT	strain=PCIT	Candidatus Moranella endobia	Candidatus Moranella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_002305895.1_ASM230589v1_genomic.gbff	GCF_002305895.1	35	Corallococcus macrosporus DSM 14697	strain=DSM 14697	Corallococcus macrosporus	Corallococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_001027545.1_ASM102754v1_genomic.gbff	GCF_001027545.1	1408281	Endomicrobium proavitum	strain=Rsa215	Endomicrobium proavitum	Endomicrobium	Endomicrobiaceae	Endomicrobiales	Endomicrobia	Elusimicrobia	Bacteria
GCF_001189515.2_ASM118951v2_genomic.gbff	GCF_001189515.2	712411	Olsenella sp. oral taxon 807	strain=F0089	Olsenella sp. oral taxon 807	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
GCF_002951115.1_ASM295111v1_genomic.gbff	GCF_002951115.1	40324	Stenotrophomonas maltophilia	strain=FDAARGOS_92	Stenotrophomonas maltophilia	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_004135755.1_ASM413575v1_genomic.gbff	GCF_004135755.1	56	Sorangium cellulosum	strain=So ce836	Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_004135775.1_ASM413577v1_genomic.gbff	GCF_004135775.1	562	Escherichia coli	strain=CRE1	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_002223805.1_ASM222380v1_genomic.gbff	GCF_002223805.1	287	Pseudomonas aeruginosa	strain=L10	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_002356015.1_ASM235601v1_genomic.gbff	GCF_002356015.1	1773	Mycobacterium tuberculosis	strain=NCGM946K2	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
GCF_005954685.1_ASM595468v1_genomic.gbff	GCF_005954685.1	1280	Staphylococcus aureus	strain=D592	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
GCF_017356665.1_ASM1735666v1_genomic.gbff	GCF_017356665.1	562	Escherichia coli	strain=UPEC129	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
GCF_006739205.1_ASM673920v1_genomic.gbff	GCF_006739205.1	1309	Streptococcus mutans	strain=NBRC 13955	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_003149515.1_ASM314951v1_genomic.gbff	GCF_003149515.1	1850093	Hymenobacter nivis	strain=NBRC 111535	Hymenobacter nivis	Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
GCF_008065135.1_ASM806513v1_genomic.gbff	GCF_008065135.1	980254	Roseimaritima ulvae	strain=UC8	Roseimaritima ulvae	Roseimaritima	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
GCF_007794935.1_ASM779493v1_genomic.gbff	GCF_007794935.1	210	Helicobacter pylori	strain=B128 7.13	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
GCF_008305695.1_ASM830569v1_genomic.gbff	GCF_008305695.1	1304	Streptococcus salivarius	strain=LAB813	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_009720565.1_ASM972056v1_genomic.gbff	GCF_009720565.1	47715	Lacticaseibacillus rhamnosus	strain=BIO5326	Lacticaseibacillus rhamnosus	Lacticaseibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
GCF_009688945.1_ASM968894v1_genomic.gbff	GCF_009688945.1	571177	Desulfosarcina alkanivorans	strain=PL12	Desulfosarcina alkanivorans	Desulfosarcina	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
GCF_002151485.1_ASM215148v1_genomic.gbff	GCF_002151485.1	139	Borreliella burgdorferi	strain=PAbe	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
GCF_002151505.1_ASM215150v1_genomic.gbff	GCF_002151505.1	139	Borreliella burgdorferi	strain=B31_NRZ	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
